stop_id,stop_name,stat,okres
3,"Aachen,,ZOLL",D,
53956,"Aalborg,,Busterminalen",DK,
10,"Abertamy,,Barbora",CZ,KV
8,"Abertamy,,nám.",CZ,KV
9,"Abertamy,,pila",CZ,KV
13,"Abertamy,Plešivec,rozc.3",CZ,KV
54821,"Absetz,,Gh.Tanneneck",D,
54826,Abzw.Ottenzell,D,
31,"Adamov,,Horka točna",CZ,BK
30,"Adamov,,Horka",CZ,BK
21,"Adamov,,III točna",CZ,BK
20,"Adamov,,III",CZ,BK
32,"Adamov,,Karlov",CZ,BK
22,"Adamov,,Kolonka",CZ,BK
24,"Adamov,,obchodní dům",CZ,BK
66338,"Adamov,Stará huť",CZ,BK
27,"Adamov,,závod",CZ,BK
29,"Adamov,,žel.st.točna",CZ,BK
28,"Adamov,,žel.st.",CZ,BK
23,"Adamov,,žel.zast.",CZ,BK
66697,"Adamov,,Dělnická",CZ,CB
65420,"Adamov,,Královský Vrch",CZ,CB
33,Adamov,CZ,KH
44106,"Adorf,,Bahnhof",D,
39,"Adršpach,Dolní Adršpach,odb.Zdoňov",CZ,NA
41,"Adršpach,Dolní Adršpach,skály",CZ,NA
38,"Adršpach,Dolní Adršpach,zámek",CZ,NA
40,"Adršpach,Horní Adršpach,žel.zast.",CZ,NA
64299,"Aigenstadel,,B12",D,
65481,"Aichach,,Bäckerei Zametzer",D,
51816,"Ainaži,,CLO",LV,
54435,"Albita,,ZOLL",RO,
62,"Albrechtice nad Orlicí,,Borek",CZ,RK
59,"Albrechtice nad Orlicí,,obchodní centrum",CZ,RK
23661,"Albrechtice nad Orlicí,,odb.Nová Ves",CZ,RK
61,"Albrechtice nad Orlicí,,1.máje",CZ,RK
65,"Albrechtice nad Vltavou,Chřešťovice",CZ,PI
67,"Albrechtice nad Vltavou,Jehnědno,U křížku",CZ,PI
66,"Albrechtice nad Vltavou,Jehnědno",CZ,PI
68,"Albrechtice nad Vltavou,Nový Dvůr",CZ,PI
64,"Albrechtice nad Vltavou,,rozc.0.3",CZ,PI
70,"Albrechtice nad Vltavou,Údraž,chalupy",CZ,PI
69,"Albrechtice nad Vltavou,Údraž",CZ,PI
72,"Albrechtice nad Vltavou,Újezd,II",CZ,PI
71,"Albrechtice nad Vltavou,Újezd",CZ,PI
75,"Albrechtice nad Vltavou,Všeteč,rozc.",CZ,PI
63,Albrechtice nad Vltavou,CZ,PI
78,"Albrechtice v Jizerských horách,,Jizerka",CZ,JN
77,"Albrechtice v Jizerských horách,,pomník",CZ,JN
76,"Albrechtice v Jizerských horách,,pošta",CZ,JN
63018,"Albrechtice v Jizerských horách,,škola",CZ,JN
43,"Albrechtice,,dvůr Červenky",CZ,KA
44,"Albrechtice,,nákupní středisko",CZ,KA
51,"Albrechtice,Pardubice",CZ,KA
45,"Albrechtice,,sídliště",CZ,KA
46,"Albrechtice,,střed",CZ,KA
47,"Albrechtice,,u hráze",CZ,KA
48,"Albrechtice,,vodojem",CZ,KA
26968,"Albrechtice,,Wawreczka",CZ,KA
49,"Albrechtice,,Zámostí",CZ,KA
50,"Albrechtice,,žel.st.",CZ,KA
52,"Albrechtice,,bytovky",CZ,UO
53,"Albrechtice,,hor.konec",CZ,UO
54,"Albrechtice,,křiž.",CZ,UO
55,"Albrechtice,,ObÚ",CZ,UO
56,"Albrechtice,,ozdravovna",CZ,UO
57,"Albrechtice,,u splavu",CZ,UO
79,"Albrechtičky,,Jednota",CZ,NJ
80,"Albrechtičky,,mateřská škola",CZ,NJ
64559,Almosenreuth,D,
94,Alojzov,CZ,PV
50448,"Altenberg,,Bahnhof",D,
64163,"Altenberg,,Pl des Bergmanns",D,
64164,"Altenberg,,Zinnwalder Strasse",D,
99,"Amsterdam,,Schiphol Airport",NL,
66186,"Amsterdam,,Sloterdijk",NL,
105,"Andělská Hora,,aut.st.",CZ,BR
106,"Andělská Hora,Pustá Rudná,samota",CZ,BR
108,"Andělská Hora,,Dolní obec",CZ,KV
109,"Andělská Hora,,hor.obec",CZ,KV
110,"Andělská Hora,,chaty",CZ,KV
111,"Andělská Hora,,rozc.",CZ,KV
68268,"Anenii Noi,,aut.nádr.",MD,
119,"Anenská Studánka,,Domov u studánky",CZ,UO
120,"Anenská Studánka,,křiž.",CZ,UO
120,"Anenská Studánka,,rozc.",CZ,UO
121,"Anenská Studánka,,žel.zast.",CZ,UO
63665,"Annaberg-Buchholz,,Bahnhofstr.",D,
50280,"Annaberg-Buchholz,,Busbahnhof",D,
63667,"Annaberg-Buchholz,,Gerisch Ruh",D,
63668,"Annaberg-Buchholz,,RVE",D,
63664,"Annaberg-Buchholz,,Turnhalle",D,
63666,"Annaberg-Buchholz,,Unterer Bahnhof",D,
47900,"Annecy,,gare rout.-rue de l'Industrie",F,
66548,"Arad,,autogara Pletl",RO,
64428,"Arad,,autogara Transdara",RO,
54659,"Arber Bergbahn,,Talstation",D,
66138,"Arhus,,Busholdepladsen Parcarea turistic",DK,
137,Archlebov,CZ,HO
67886,"Arlanda,,Airport Terminal 4 & 5",S,
54829,"Arnbruck,,Dorfplatz",D,
51827,"Arneštovice,,křiž.0.2",CZ,PE
67204,"Arneštovice,,rozc.Krasolesí",CZ,PE
140,Arneštovice,CZ,PE
141,"Arnhem,,Centr.St.Uitgang Sonsbeek",NL,
65160,"Arnhem,,C.S. Sonsbeek exit",NL,
659,"Arnoldstein,,ZOLL",A,
142,Arnolec,CZ,JI
17396,"Arnoltice,,u Pajonků",CZ,DC
143,Arnoltice,CZ,DC
54827,"Arrach,,Bahnhof",D,
148,"Ártánd,,oh.ZOLL",H,
168,"Aš,,CLO",CZ,CH
171,"Aš,Dolní Paseky,rozc.",CZ,CH
170,"Aš,Dolní Paseky",CZ,CH
172,"Aš,Doubrava",CZ,CH
157,"Aš,,garáže",CZ,CH
174,"Aš,Horní Paseky,rozc.",CZ,CH
173,"Aš,Horní Paseky",CZ,CH
158,"Aš,,hřbitov točna",CZ,CH
45644,"Aš,,Chebská",CZ,CH
159,"Aš,,Janáčkova křiž.",CZ,CH
160,"Aš,,kino",CZ,CH
